timestamp,current_temp,target_temp,heart_rate,pwm_value,state,error
2026-06-30 23:04:40,20.1,20.0,107,70,RUNNING,NONE
2026-06-30 23:04:45,20.2,20.0,102,71,RUNNING,NONE
2026-06-30 23:04:51,20.1,20.0,96,75,RUNNING,NONE
2026-06-30 23:04:56,20.1,20.0,115,75,RUNNING,NONE
2026-06-30 23:05:01,20.1,20.0,111,75,RUNNING,NONE
2026-06-30 23:05:06,20.0,20.0,103,76,RUNNING,NONE
2026-06-30 23:05:11,21.5,20.0,98,57,RUNNING,NONE
2026-06-30 23:05:16,21.5,20.0,120,59,RUNNING,NONE
2026-06-30 23:05:21,21.5,20.0,107,59,RUNNING,NONE
2026-06-30 23:05:26,21.4,20.0,100,58,RUNNING,NONE
2026-06-30 23:05:31,21.3,20.0,120,52,RUNNING,NONE
2026-06-30 23:05:36,21.3,20.0,102,59,RUNNING,NONE
2026-06-30 23:05:41,21.2,20.0,119,58,RUNNING,NONE
2026-06-30 23:05:46,21.1,20.0,101,52,RUNNING,NONE
2026-06-30 23:05:51,21.1,20.0,105,58,RUNNING,NONE
2026-06-30 23:05:56,21.1,20.0,111,65,RUNNING,NONE
2026-06-30 23:06:01,20.9,20.0,121,59,RUNNING,NONE
2026-06-30 23:06:06,20.9,20.0,113,65,RUNNING,NONE
2026-06-30 23:06:11,20.8,20.0,98,59,RUNNING,NONE
2026-06-30 23:06:16,20.7,20.0,104,52,RUNNING,NONE
2026-06-30 23:06:21,20.7,20.0,114,58,RUNNING,NONE
2026-06-30 23:06:26,20.7,20.0,111,60,RUNNING,NONE
2026-06-30 23:06:31,20.7,20.0,99,65,RUNNING,NONE
2026-06-30 23:06:36,20.6,20.0,105,59,RUNNING,NONE
2026-06-30 23:06:41,20.6,20.0,121,60,RUNNING,NONE
2026-06-30 23:06:46,20.5,20.0,97,53,RUNNING,NONE
2026-06-30 23:06:51,20.5,20.0,114,58,RUNNING,NONE
2026-06-30 23:06:56,20.5,20.0,96,59,RUNNING,NONE
2026-06-30 23:07:01,20.5,20.0,106,60,RUNNING,NONE
2026-06-30 23:07:06,20.5,20.0,96,62,RUNNING,NONE
2026-06-30 23:07:11,20.4,20.0,111,55,RUNNING,NONE
2026-06-30 23:07:16,20.4,20.0,100,60,RUNNING,NONE
2026-06-30 23:07:21,20.4,20.0,120,68,RUNNING,NONE
2026-06-30 23:07:27,20.4,20.0,102,53,RUNNING,NONE
2026-06-30 23:07:32,20.4,20.0,108,62,RUNNING,NONE
2026-06-30 23:07:37,20.4,20.0,105,59,RUNNING,NONE
2026-06-30 23:07:42,20.4,20.0,108,63,RUNNING,NONE
2026-06-30 23:07:47,20.3,20.0,104,60,RUNNING,NONE
2026-06-30 23:07:52,20.3,20.0,102,61,RUNNING,NONE
2026-06-30 23:07:57,20.3,20.0,119,62,RUNNING,NONE
2026-06-30 23:08:02,20.3,20.0,102,54,RUNNING,NONE
2026-06-30 23:08:07,20.2,20.0,115,63,RUNNING,NONE
2026-06-30 23:08:12,20.3,20.0,104,60,RUNNING,NONE
2026-06-30 23:08:17,20.2,20.0,97,64,RUNNING,NONE
2026-06-30 23:08:22,20.2,20.0,111,56,RUNNING,NONE
2026-06-30 23:08:27,20.3,20.0,97,65,RUNNING,NONE
2026-06-30 23:08:32,20.2,20.0,111,62,RUNNING,NONE
2026-06-30 23:08:37,20.2,20.0,99,62,RUNNING,NONE
2026-06-30 23:08:42,20.2,20.0,102,63,RUNNING,NONE
2026-06-30 23:08:47,20.2,20.0,105,63,RUNNING,NONE
2026-06-30 23:08:52,20.2,20.0,121,63,RUNNING,NONE
2026-06-30 23:08:57,20.2,20.0,115,64,RUNNING,NONE
2026-06-30 23:09:02,20.2,20.0,109,64,RUNNING,NONE
2026-06-30 23:09:07,20.2,20.0,110,61,RUNNING,NONE
2026-06-30 23:09:12,20.2,20.0,108,61,RUNNING,NONE
2026-06-30 23:09:17,20.1,20.0,95,57,RUNNING,NONE
2026-06-30 23:09:22,20.1,20.0,101,66,RUNNING,NONE
2026-06-30 23:09:27,20.2,20.0,106,66,RUNNING,NONE
2026-06-30 23:09:32,20.1,20.0,121,62,RUNNING,NONE
2026-06-30 23:09:37,20.2,20.0,96,71,RUNNING,NONE
2026-06-30 23:09:42,20.1,20.0,104,63,RUNNING,NONE
2026-06-30 23:09:47,20.1,20.0,109,59,RUNNING,NONE
2026-06-30 23:09:52,20.2,20.0,101,71,RUNNING,NONE
2026-06-30 23:09:57,20.2,20.0,118,64,RUNNING,NONE
2026-06-30 23:10:03,20.1,20.0,102,64,RUNNING,NONE
2026-06-30 23:10:08,20.1,20.0,114,64,RUNNING,NONE
2026-06-30 23:10:13,20.1,20.0,109,64,RUNNING,NONE
2026-06-30 23:10:18,20.1,20.0,100,60,RUNNING,NONE
2026-06-30 23:10:23,20.1,20.0,95,65,RUNNING,NONE
2026-06-30 23:10:28,20.1,20.0,113,65,RUNNING,NONE
2026-06-30 23:10:33,20.1,20.0,104,65,RUNNING,NONE
2026-06-30 23:10:38,20.1,20.0,96,65,RUNNING,NONE
2026-06-30 23:10:43,20.1,20.0,121,65,RUNNING,NONE
2026-06-30 23:10:48,20.1,20.0,102,66,RUNNING,NONE
2026-06-30 23:10:53,20.1,20.0,108,66,RUNNING,NONE
2026-06-30 23:10:58,20.1,20.0,104,66,RUNNING,NONE
2026-06-30 23:11:03,20.0,20.0,98,66,RUNNING,NONE
2026-06-30 23:11:08,21.4,20.0,113,53,RUNNING,NONE
2026-06-30 23:11:13,21.4,20.0,97,51,RUNNING,NONE
2026-06-30 23:11:18,21.4,20.0,112,46,RUNNING,NONE
2026-06-30 23:11:23,21.3,20.0,96,53,RUNNING,NONE
